symbol,symbol_encoded_unscaled,symbol_encoded_scaled_x,symbol_encoded_scaled_y
ABOT,0,,-0.98
ACPL,1,,-0.96
AGP,2,,-0.94
AGSML,3,,-0.92
AGTL,4,,-0.9
ANL,5,,-0.88
APL,6,,-0.86
ASC,7,,-0.84
ATBA,8,,-0.82
ATRL,9,,-0.8
AVN,10,,-0.78
BGL,11,,-0.76
BIFO,12,,-0.74
BIPL,13,,-0.72
BML,14,,-0.7
BNL,15,,-0.68
BWCL,16,,-0.66
CEPB,17,,-0.64
CHCC,18,,-0.62
CLOV,19,,-0.6
CNERGY,20,,-0.58
CPPL,21,,-0.56
DCL,22,,-0.54
DCR,23,,-0.52
DFSM,24,,-0.5
DGKC,25,,-0.48
DOL,26,,-0.46
EFERT,27,,-0.44
ENGRO,28,,-0.42
EPCL,29,,-0.4
EXIDE,30,,-0.38
FABL,31,,-0.36
FATIMA,32,,-0.34
FCCL,33,,-0.32
FCEPL,34,,-0.3
FEROZ,35,,-0.28
FFBL,36,,-0.26
FFL,37,,-0.24
FHAM,38,,-0.22
GAL,39,,-0.2
GGGL,40,,-0.18
GGL,41,,-0.16
GHGL,42,,-0.14
GHNI,43,,-0.12
GLAXO,44,,-0.1
GTYR,45,,-0.08
GVGL,46,,-0.06
GWLC,47,,-0.04
HALEON,48,,-0.02
HINOON,49,,0.0
HTL,50,,0.02
HUBC,51,,0.04
IBLHL,52,,0.06
ICL,53,,0.08
ILP,54,,0.1
INIL,55,,0.12
ISL,56,,0.14
ITTEFAQ,57,,0.16
JSML,58,,0.18
KEL,59,,0.2
KOHC,60,,0.22
KTML,61,,0.24
LCI,62,,0.26
LOTCHEM,63,,0.28
LUCK,64,,0.3
MARI,65,,0.32
MEBL,66,,0.34
MLCF,67,,0.36
MTL,68,,0.38
MUGHAL,69,,0.4
NETSOL,70,,0.42
NML,71,,0.44
NRL,72,,0.46
NRSL,73,,0.48
PAEL,74,,0.5
PIBTL,75,,0.52
PIOC,76,,0.54
PKGS,77,,0.56
POWER,78,,0.58
PPL,79,,0.6
PREMA,80,,0.62
PRL,81,,0.64
PSO,82,,0.66
QUICE,83,,0.68
RPL,84,,0.7
SEARL,85,,0.72
SHDT,86,,0.74
SHEL,87,,0.76
SNGP,88,,0.78
SPEL,89,,0.8
SSGC,90,,0.82
STCL,91,,0.84
SYS,92,,0.86
TELE,93,,0.88
TGL,94,,0.9
THCCL,95,,0.92
TREET,96,,0.94
UNITY,97,,0.96
WAVES,98,,0.98
